"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 30, 2017","886.94","884.50","887.31","883.02","202.53M","0.19%"
"Mar 29, 2017","885.23","876.42","886.16","876.21","237.39M","1.05%"
"Mar 28, 2017","876.06","870.04","876.86","869.40","200.55M","0.67%"
"Mar 27, 2017","870.22","865.01","871.43","863.50","206.51M","0.04%"
"Mar 24, 2017","869.83","872.44","873.53","867.17","183.32M","-0.15%"
"Mar 23, 2017","871.15","872.20","875.61","869.60","211.03M","-0.11%"
"Mar 22, 2017","872.13","868.64","872.65","866.27","210.05M","0.39%"
"Mar 21, 2017","868.77","881.37","882.07","868.07","299.16M","-1.18%"
"Mar 20, 2017","879.13","884.08","884.29","877.58","244.22M","-0.53%"
"Mar 17, 2017","883.85","884.89","884.89","880.97","400.63M","0.10%"
"Mar 16, 2017","882.99","882.05","885.06","881.31","244.56M","0.12%"
"Mar 15, 2017","881.90","879.00","883.32","875.03","245.56M","0.43%"
"Mar 14, 2017","878.14","877.83","879.06","873.92","221.76M","-0.03%"
"Mar 13, 2017","878.41","877.79","878.98","875.80","224.82M","0.04%"
"Mar 10, 2017","878.02","879.69","881.38","876.50","242.02M","0.16%"
"Mar 09, 2017","876.58","877.26","878.94","874.74","250.70M","-0.10%"
"Mar 08, 2017","877.47","874.72","879.46","874.72","292.85M","0.39%"
"Mar 07, 2017","874.03","876.30","878.51","873.04","290.31M","-0.50%"
"Mar 06, 2017","878.40","880.95","882.63","876.77","277.57M","-0.60%"
"Mar 03, 2017","883.67","886.47","888.39","881.14","307.76M","-0.55%"
"Mar 02, 2017","888.55","886.72","890.58","885.45","296.79M","0.08%"
"Mar 01, 2017","887.80","889.06","890.99","884.82","382.35M","0.75%"
"Feb 28, 2017","881.19","886.60","886.71","879.43","369.83M","-1.24%"
"Feb 27, 2017","892.21","889.87","892.80","887.73","263.52M","0.10%"
"Feb 24, 2017","891.28","883.05","891.99","882.47","335.32M","0.69%"
"Feb 23, 2017","885.13","892.05","892.12","884.15","303.66M","-0.65%"
"Feb 22, 2017","890.88","892.90","893.37","888.00","226.97M","-0.16%"
"Feb 21, 2017","892.28","889.86","893.87","889.82","275.56M","0.92%"
"Feb 17, 2017","884.17","878.06","884.17","877.74","252.81M","0.50%"
"Feb 16, 2017","879.81","882.65","884.24","878.00","262.35M","-0.32%"
"Feb 15, 2017","882.64","875.21","883.02","875.10","300.85M","0.67%"
"Feb 14, 2017","876.74","869.88","876.74","869.77","250.69M","0.73%"
"Feb 13, 2017","870.42","874.37","874.37","870.06","211.68M","-0.04%"
"Feb 10, 2017","870.78","868.19","871.08","866.66","241.31M","0.32%"
"Feb 09, 2017","867.96","861.37","869.67","859.92","263.07M","0.92%"
"Feb 08, 2017","860.09","852.17","860.71","852.17","230.01M","0.89%"
"Feb 07, 2017","852.53","851.84","854.27","850.49","210.68M","0.30%"
"Feb 06, 2017","850.00","852.59","852.93","849.41","222.00M","-0.43%"
"Feb 03, 2017","853.65","850.97","855.97","850.60","274.67M","-0.35%"
"Feb 02, 2017","856.62","856.63","859.88","853.91","272.34M","0.16%"
"Feb 01, 2017","855.25","858.65","860.13","852.67","255.38M","-0.39%"
"Jan 31, 2017","858.60","853.13","858.68","851.50","257.18M","0.14%"
"Jan 30, 2017","857.38","854.61","857.58","849.42","316.27M","0.04%"
"Jan 27, 2017","857.02","864.78","864.78","853.80","306.45M","-0.73%"
"Jan 26, 2017","863.28","865.31","867.53","863.00","227.93M","-0.40%"
"Jan 25, 2017","866.76","867.55","870.10","866.25","226.87M","0.30%"
"Jan 24, 2017","864.17","860.78","865.10","858.48","241.83M","0.65%"
"Jan 23, 2017","858.58","857.05","860.71","854.38","239.50M","-0.08%"
"Jan 20, 2017","859.25","863.84","865.92","857.15","333.12M","-0.24%"
"Jan 19, 2017","861.32","867.96","868.79","859.86","255.58M","-0.59%"
"Jan 18, 2017","866.42","868.09","868.09","862.29","252.36M","-0.31%"
"Jan 17, 2017","869.12","865.60","873.18","864.88","267.02M","0.45%"
"Jan 13, 2017","865.25","865.12","867.77","864.58","238.89M","0.11%"
"Jan 12, 2017","864.30","861.46","864.95","857.38","224.73M","0.27%"
"Jan 11, 2017","862.00","861.42","863.46","855.63","262.40M","0.02%"
"Jan 10, 2017","861.84","858.44","864.56","857.82","265.90M","0.37%"
"Jan 09, 2017","858.64","858.52","859.87","856.68","244.73M","0.09%"
"Jan 06, 2017","857.89","855.90","860.97","851.73","316.76M","0.16%"
"Jan 05, 2017","856.51","851.06","857.35","850.26","360.48M","-0.04%"
"Jan 04, 2017","856.88","852.00","859.08","851.63","261.54M","0.85%"
"Jan 03, 2017","849.68","850.39","851.61","845.11","282.04M","0.56%"
"Dec 30, 2016","844.95","853.94","854.72","842.58","176.39M","-0.88%"
"Dec 29, 2016","852.42","853.90","856.53","850.37","153.57M","-0.19%"
"Dec 28, 2016","854.05","861.59","862.40","853.25","157.54M","-0.62%"
"Dec 27, 2016","859.35","855.76","861.94","855.53","146.53M","0.53%"
"Dec 23, 2016","854.80","856.71","858.74","853.66","151.64M","-0.21%"
"Dec 22, 2016","856.60","868.76","868.86","854.73","264.21M","-1.63%"
"Dec 21, 2016","870.76","871.95","872.76","870.26","181.84M","-0.33%"
"Dec 20, 2016","873.60","870.27","875.12","870.18","266.41M","0.69%"
"Dec 19, 2016","867.59","864.15","870.64","864.00","219.01M","0.47%"
"Dec 16, 2016","863.55","867.78","869.46","861.41","422.66M","-0.30%"
"Dec 15, 2016","866.17","866.04","871.20","864.92","230.11M","0.00%"
"Dec 14, 2016","866.15","875.60","876.58","864.50","230.13M","-0.93%"
"Dec 13, 2016","874.29","869.53","878.05","868.44","250.48M","0.82%"
"Dec 12, 2016","867.17","868.56","869.89","865.33","252.43M","-0.43%"
"Dec 09, 2016","870.90","868.96","870.90","865.42","249.42M","0.39%"
"Dec 08, 2016","867.54","868.81","871.62","866.13","278.02M","-0.14%"
"Dec 07, 2016","868.77","856.34","869.48","854.47","276.40M","1.40%"
"Dec 06, 2016","856.76","854.92","856.90","852.06","239.27M","0.45%"
"Dec 05, 2016","852.93","850.03","854.83","847.93","264.93M","0.62%"
"Dec 02, 2016","847.70","846.14","850.44","844.96","67.38M","0.28%"
"Dec 01, 2016","845.32","845.04","849.76","842.79","63.03M","-0.08%"
"Nov 30, 2016","845.99","851.49","852.87","845.99","94.73M","-0.77%"
"Nov 29, 2016","852.52","855.46","856.52","851.80","64.36M","-0.13%"
"Nov 28, 2016","853.59","857.30","858.49","851.67","58.77M","-0.76%"
"Nov 25, 2016","860.10","862.47","862.52","859.14","25.22M","0.15%"
"Nov 23, 2016","858.79","856.12","859.00","854.82","54.44M","0.17%"
"Nov 22, 2016","857.29","851.49","858.33","850.95","70.46M","1.20%"
"Nov 21, 2016","847.10","840.36","847.20","840.23","60.55M","0.97%"
"Nov 18, 2016","838.97","841.39","841.99","837.91","76.08M","-0.19%"
"Nov 17, 2016","840.55","831.15","840.62","830.15","69.53M","0.87%"
"Nov 16, 2016","833.29","828.71","835.09","827.72","69.12M","0.38%"
"Nov 15, 2016","830.15","829.17","830.74","825.95","76.92M","0.30%"
"Nov 14, 2016","827.68","831.39","834.21","826.45","85.99M","-0.12%"
"Nov 11, 2016","828.69","824.04","829.35","820.90","81.11M","0.21%"
"Nov 10, 2016","826.96","827.54","836.31","819.60","110.93M","0.36%"
"Nov 09, 2016","824.03","800.60","825.33","799.65","85.73M","1.16%"
"Nov 08, 2016","814.55","818.93","819.10","808.75","68.16M","-0.76%"
"Nov 07, 2016","820.75","812.86","821.69","812.86","61.62M","2.23%"
"Nov 04, 2016","802.86","805.22","809.67","802.18","59.88M","-0.43%"
"Nov 03, 2016","806.36","815.03","817.20","804.78","62.25M","-0.89%"
"Nov 02, 2016","813.57","813.39","818.77","812.11","63.66M","-0.14%"
"Nov 01, 2016","814.73","824.04","824.60","810.47","60.60M","-0.98%"
